,date,entity,tweet,username,avatar,data-conversation-id,data-item-id,predict
899,2020-04-18,LendfMe,"  If a project doesn't have the expertise to develop it's own smart contracts, and instead steals and redeploys somebody else's copyrighted code, it's a sign that they don't have the capacity or intention to consider security.

Hope developers & users learn from the @LendfMe hack.
",@rleshner,https://pbs.twimg.com/profile_images/1148807198832594944/Dl9570s6_normal.png,1.251717261888385e+18,1.251717261888385e+18,0
900,2020-06-29,LendfMe,"  Most DeFi attacks
Synthetix 37m sETH
bZx $900k
Maker ~$8m
LendfMe $25m
Balancer $500k

Just 1 CeFi hack
Coincheck: $534 Million

Just 1 TradFi attack (by bank on customers)
BofA: $16.64B settlement over selling toxic mortgages twitter.com/fluffypony/sta…
",@CamiRusso,https://pbs.twimg.com/profile_images/1287475982400655362/AQxJKTiV_normal.jpg,1.277593713284391e+18,1.277593713284391e+18,0
901,2020-04-19,LendfMe,"  👹DeFi exploits: 

June 2019: Synthetix 37m sETH
Feb. 2020: bZx $900k
Mar 2020: iEarn ~$280k
April 2020: LendfMe $25m

It's not just one project's problem. DeFi needs better security standards or we'll continue seeing the downside of that composability double-edged sword.
",@CamiRusso,https://pbs.twimg.com/profile_images/1287475982400655362/AQxJKTiV_normal.jpg,1.2519213384550195e+18,1.2519213384550195e+18,0
902,2020-04-18,LendfMe,"  If a project doesn't have the expertise to develop it's own smart contracts, and instead steals and redeploys somebody else's copyrighted code, it's a sign that they don't have the capacity or intention to consider security.

Hope developers & users learn from the @LendfMe hack.
",@rleshner,https://pbs.twimg.com/profile_images/1148807198832594944/Dl9570s6_normal.png,1.251717261888385e+18,1.251717261888385e+18,0
903,2020-06-29,LendfMe,"  Most DeFi attacks
Synthetix 37m sETH
bZx $900k
Maker ~$8m
LendfMe $25m
Balancer $500k

Just 1 CeFi hack
Coincheck: $534 Million

Just 1 TradFi attack (by bank on customers)
BofA: $16.64B settlement over selling toxic mortgages twitter.com/fluffypony/sta…
",@CamiRusso,https://pbs.twimg.com/profile_images/1287475982400655362/AQxJKTiV_normal.jpg,1.277593713284391e+18,1.277593713284391e+18,0
904,2020-04-19,LendfMe,"  👹DeFi exploits: 

June 2019: Synthetix 37m sETH
Feb. 2020: bZx $900k
Mar 2020: iEarn ~$280k
April 2020: LendfMe $25m

It's not just one project's problem. DeFi needs better security standards or we'll continue seeing the downside of that composability double-edged sword.
",@CamiRusso,https://pbs.twimg.com/profile_images/1287475982400655362/AQxJKTiV_normal.jpg,1.2519213384550195e+18,1.2519213384550195e+18,0
905,2020-04-18,LendfMe,"  If a project doesn't have the expertise to develop it's own smart contracts, and instead steals and redeploys somebody else's copyrighted code, it's a sign that they don't have the capacity or intention to consider security.

Hope developers & users learn from the @LendfMe hack.
",@rleshner,https://pbs.twimg.com/profile_images/1148807198832594944/Dl9570s6_normal.png,1.251717261888385e+18,1.251717261888385e+18,0
906,2020-06-29,LendfMe,"  Most DeFi attacks
Synthetix 37m sETH
bZx $900k
Maker ~$8m
LendfMe $25m
Balancer $500k

Just 1 CeFi hack
Coincheck: $534 Million

Just 1 TradFi attack (by bank on customers)
BofA: $16.64B settlement over selling toxic mortgages twitter.com/fluffypony/sta…
",@CamiRusso,https://pbs.twimg.com/profile_images/1287475982400655362/AQxJKTiV_normal.jpg,1.277593713284391e+18,1.277593713284391e+18,0
907,2020-04-19,LendfMe,"  👹DeFi exploits: 

June 2019: Synthetix 37m sETH
Feb. 2020: bZx $900k
Mar 2020: iEarn ~$280k
April 2020: LendfMe $25m

It's not just one project's problem. DeFi needs better security standards or we'll continue seeing the downside of that composability double-edged sword.
",@CamiRusso,https://pbs.twimg.com/profile_images/1287475982400655362/AQxJKTiV_normal.jpg,1.2519213384550195e+18,1.2519213384550195e+18,0
908,2020-04-18,LendfMe,"  If a project doesn't have the expertise to develop it's own smart contracts, and instead steals and redeploys somebody else's copyrighted code, it's a sign that they don't have the capacity or intention to consider security.

Hope developers & users learn from the @LendfMe hack.
",@rleshner,https://pbs.twimg.com/profile_images/1148807198832594944/Dl9570s6_normal.png,1.251717261888385e+18,1.251717261888385e+18,0
909,2020-06-29,LendfMe,"  Most DeFi attacks
Synthetix 37m sETH
bZx $900k
Maker ~$8m
LendfMe $25m
Balancer $500k

Just 1 CeFi hack
Coincheck: $534 Million

Just 1 TradFi attack (by bank on customers)
BofA: $16.64B settlement over selling toxic mortgages twitter.com/fluffypony/sta…
",@CamiRusso,https://pbs.twimg.com/profile_images/1287475982400655362/AQxJKTiV_normal.jpg,1.277593713284391e+18,1.277593713284391e+18,0
910,2020-04-19,LendfMe,"  👹DeFi exploits: 

June 2019: Synthetix 37m sETH
Feb. 2020: bZx $900k
Mar 2020: iEarn ~$280k
April 2020: LendfMe $25m

It's not just one project's problem. DeFi needs better security standards or we'll continue seeing the downside of that composability double-edged sword.
",@CamiRusso,https://pbs.twimg.com/profile_images/1287475982400655362/AQxJKTiV_normal.jpg,1.2519213384550195e+18,1.2519213384550195e+18,0
911,2020-04-18,LendfMe,"  If a project doesn't have the expertise to develop it's own smart contracts, and instead steals and redeploys somebody else's copyrighted code, it's a sign that they don't have the capacity or intention to consider security.

Hope developers & users learn from the @LendfMe hack.
",@rleshner,https://pbs.twimg.com/profile_images/1148807198832594944/Dl9570s6_normal.png,1.251717261888385e+18,1.251717261888385e+18,0
912,2020-06-29,LendfMe,"  Most DeFi attacks
Synthetix 37m sETH
bZx $900k
Maker ~$8m
LendfMe $25m
Balancer $500k

Just 1 CeFi hack
Coincheck: $534 Million

Just 1 TradFi attack (by bank on customers)
BofA: $16.64B settlement over selling toxic mortgages twitter.com/fluffypony/sta…
",@CamiRusso,https://pbs.twimg.com/profile_images/1287475982400655362/AQxJKTiV_normal.jpg,1.277593713284391e+18,1.277593713284391e+18,0
913,2020-04-19,LendfMe,"  👹DeFi exploits: 

June 2019: Synthetix 37m sETH
Feb. 2020: bZx $900k
Mar 2020: iEarn ~$280k
April 2020: LendfMe $25m

It's not just one project's problem. DeFi needs better security standards or we'll continue seeing the downside of that composability double-edged sword.
",@CamiRusso,https://pbs.twimg.com/profile_images/1287475982400655362/AQxJKTiV_normal.jpg,1.2519213384550195e+18,1.2519213384550195e+18,0
