date,entity,score
18/4/20,LendfMe,1.066314733
19/4/20,LendfMe,1.282846462
29/6/20,LendfMe,97.04908263
15/1/20,Liqui,0.547445664
23/1/20,Liqui,0.712434913
10/2/20,Liqui,3.350611346
24/3/20,Liqui,0.586179441
25/3/20,Liqui,0.621336863
15/4/20,Liqui,98.14709863
13/6/20,Liqui,1.134512744
18/6/20,Liqui,0.774516097
28/6/20,Liqui,60.93924865
30/6/20,Liqui,27.89895007
15/1/20,Liquid,0.547445664
23/1/20,Liquid,0.712434913
10/2/20,Liquid,3.350611346
12/2/20,Liquid,1.115815752
24/3/20,Liquid,0.586179441
25/3/20,Liquid,0.621336863
15/4/20,Liquid,98.14709863
22/4/20,Liquid,1.053574893
8/5/20,Liquid,0.901665931
10/5/20,Liquid,0.954612848
2/6/20,Liquid,1.035335214
11/6/20,Liquid,4.740533181
13/6/20,Liquid,1.134512744
18/6/20,Liquid,0.774516097
26/6/20,Liquid,85.54337805
28/6/20,Liquid,60.93924865
30/6/20,Liquid,27.89895007
12/6/20,Luno,0.790595059
15/4/20,Maker,98.14709863
25/4/20,Maker,0.622627969
26/5/20,Maker,98.74008545
14/6/20,Maker,0.536040338
29/6/20,Matic Network,0.759488909
7/3/20,Melon,1.081824199
12/3/20,Melon,54.7283241
19/4/20,Melon,0.928485023
9/1/20,Nexo,0.552877699
2/6/20,Nexo,0.765935546
16/6/20,Nexo,0.652646491
19/6/20,Nexo,0.681846792
26/6/20,Nexo,0.526759531
13/1/20,OTC,2.051466709
21/5/20,OTC,0.874338377
12/4/20,Okex,24.52687026
20/4/20,Parity,0.870201957
21/4/20,Parity,1.009052956
14/6/20,Parity,85.32554587
19/3/20,Poloniex,0.63233857
6/4/20,Poloniex,0.533000174
8/6/20,Poloniex,95.78842533
16/3/20,QuadrigaCX,0.696078549
19/4/20,Synthetix,1.282846462
29/6/20,Synthetix,97.04908263
2/1/20,Tether,0.604331597
3/1/20,Tether,1.010089194
5/1/20,Tether,0.831300077
11/1/20,Tether,95.4290291
17/1/20,Tether,0.772083137
23/1/20,Tether,0.607490176
29/1/20,Tether,0.790559716
4/3/20,Tether,1.098420718
12/3/20,Tether,0.697509672
6/4/20,Tether,12.90864862
8/4/20,Tether,2.614441623
17/5/20,Tether,0.858831696
8/6/20,Tether,95.78842533
13/6/20,Tether,0.673832735
14/6/20,Tether,0.613088707
18/6/20,Tether,0.774515731
1/7/20,Tether,0.514316838
19/4/20,Uniswap,99.19029885
13/3/20,Upbit,1.062154369
13/5/20,Upbit,95.77026234
12/3/20,Zipmex,0.544275989
20/1/20,aave,6.317793768
2/3/20,aave,1.165346652
5/3/20,aave,1.944124318
10/3/20,aave,1.019875781
31/3/20,aave,1.831507391
3/4/20,aave,1.07392576
14/4/20,aave,1.158269983
19/4/20,aave,98.19749519
25/4/20,aave,0.89136582
6/5/20,aave,0.719068274
7/5/20,aave,0.846664296
14/5/20,aave,1.565317186
1/6/20,aave,1.045362835
2/6/20,aave,1.821726603
10/6/20,aave,0.99629107
23/6/20,aave,1.0762408
24/6/20,aave,0.969309408
30/6/20,aave,1.174376198
12/2/20,airswap,1.617425623
6/2/20,altsbit,99.03127401
7/2/20,altsbit,51.07906299
8/2/20,altsbit,97.06319827
10/2/20,altsbit,30.68804868
11/2/20,altsbit,76.78659992
23/4/20,altsbit,7.794850314
